Date,equipe1,score,equipe2
19/09/2021,Real Sociedad San-Sebastian (4),0 - 0,FC Séville (5)
23/09/2021,Grenade CF (18),2 - 3,Real Sociedad San-Sebastian (3)
26/09/2021,Real Sociedad San-Sebastian (2),1 - 0,Elche CF (16)
03/10/2021,Getafe CF (20),1 - 1,Real Sociedad San-Sebastian (3)
16/10/2021,Real Sociedad San-Sebastian (2),1 - 0,Real Majorque (13)
24/10/2021,Atlético Madrid (5),2 - 2,Real Sociedad San-Sebastian (3)
28/10/2021,Celta Vigo (15),0 - 2,Real Sociedad San-Sebastian (2)
31/10/2021,Real Sociedad San-Sebastian (3),1 - 1,Athletic Bilbao (8)
07/11/2021,Osasuna Pampelune (7),0 - 2,Real Sociedad San-Sebastian (3)
21/11/2021,Real Sociedad San-Sebastian (3),0 - 0,Valence CF (11)
28/11/2021,Espanyol Barcelone (9),1 - 0,Real Sociedad San-Sebastian (4)
04/12/2021,Real Sociedad San-Sebastian (5),0 - 2,Real Madrid (1)
12/12/2021,Real Betis Balompié Séville (3),4 - 0,Real Sociedad San-Sebastian (5)
18/12/2021,Real Sociedad San-Sebastian (6),1 - 3,Villarreal CF (9)
02/01/2022,Deportivo Alavés (18),1 - 1,Real Sociedad San-Sebastian (7)
08/01/2022,Real Sociedad San-Sebastian (5),1 - 0,Celta Vigo (14)
23/01/2022,Real Sociedad San-Sebastian (4),0 - 0,Getafe CF (16)
06/02/2022,Valence CF (11),0 - 0,Real Sociedad San-Sebastian (5)
13/02/2022,Real Sociedad San-Sebastian (4),2 - 0,Grenade CF (17)
20/02/2022,Athletic Bilbao (8),4 - 0,Real Sociedad San-Sebastian (6)
27/02/2022,Real Sociedad San-Sebastian (6),1 - 0,Osasuna Pampelune (12)
02/03/2022,Real Majorque (17),0 - 2,Real Sociedad San-Sebastian (4)
05/03/2022,Real Madrid (1),4 - 1,Real Sociedad San-Sebastian (6)
13/03/2022,Real Sociedad San-Sebastian (6),1 - 0,Deportivo Alavés (19)
20/03/2022,FC Séville (2),0 - 0,Real Sociedad San-Sebastian (6)
04/04/2022,Real Sociedad San-Sebastian (6),1 - 0,Espanyol Barcelone (13)
10/04/2022,Elche CF (15),1 - 2,Real Sociedad San-Sebastian (6)
15/04/2022,Real Sociedad San-Sebastian (6),0 - 0,Real Betis Balompié Séville (5)
21/04/2022,Real Sociedad San-Sebastian (6),0 - 1,FC Barcelone (2)
01/05/2022,Rayo Vallecano (11),1 - 1,Real Sociedad San-Sebastian (6)
06/05/2022,Levante UD (19),2 - 1,Real Sociedad San-Sebastian (6)
